swept_param_id,swept_param_label,swept_param_group,param_value,param_value_str,in_steps,in_time_step,in_range_noise_act,in_az_noise_act,in_dop_noise_act,in_process_noise_q,in_range_noise_gss,in_az_noise_gss,in_dop_noise_gss,in_rangex_noise_gss,in_rangey_noise_gss,in_init_range,in_init_x,in_init_y,in_init_vx,in_init_vy,in_P0_range,in_P0_x,in_P0_y,in_P0_vx,in_P0_vy,in_sensor_range0,in_sensor_az0,in_sensor_speed,in_sensor_accel,in_sensor_yaw,in_sensor_yawrate,in_sensor_yawraterate,in_target_range0,in_target_az0,in_target_speed,in_target_accel,in_target_yaw,in_target_yawrate,in_target_yawraterate,in_sensor_turnrate,in_target_turnrate,in_state_meas,in_sensor_traj,in_target_traj,rmse_rangex,rmse_rangey,rmse_vx,rmse_vy,rmse_azimuth,run_failed
P02,Time step (s),Simulation,2.0,2.0,1000,2.0,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.370193483649756,2.6420495144044986,0.13056755356919936,0.0926117310227687,0.7362460779492667,False
P03,Range noise actual (m),Meas Noise Actual,0.1,0.1,1000,1.0,0.1,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.174359004344752,2.330608580885445,0.025673552141899217,0.07045380682600198,0.7148621948138056,False
P03,Range noise actual (m),Meas Noise Actual,0.11937766417144363,0.11937766417144363,1000,1.0,0.11937766417144363,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.1751427993757035,2.3316120981506407,0.026478437961815947,0.06704470214880173,0.7150181440398155,False
P03,Range noise actual (m),Meas Noise Actual,0.14251026703029981,0.14251026703029981,1000,1.0,0.14251026703029981,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.1722227474279245,2.3351870884654393,0.025225123328474607,0.07291647072368758,0.7148767664178507,False
P03,Range noise actual (m),Meas Noise Actual,0.17012542798525893,0.17012542798525893,1000,1.0,0.17012542798525893,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.175917012745143,2.3472136551555978,0.030607771920363736,0.07217196191989037,0.7166013266074451,False
P03,Range noise actual (m),Meas Noise Actual,0.20309176209047358,0.20309176209047358,1000,1.0,0.20309176209047358,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.17306238951328,2.3346130312906586,0.028981737811780803,0.0697987135983329,0.7152132151356793,False
P03,Range noise actual (m),Meas Noise Actual,0.24244620170823283,0.24244620170823283,1000,1.0,0.24244620170823283,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.173372117913498,2.3415232730797704,0.032340418290067,0.07087605552547127,0.715704553748217,False
P03,Range noise actual (m),Meas Noise Actual,0.2894266124716751,0.2894266124716751,1000,1.0,0.2894266124716751,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.17513192129401,2.3361718360604824,0.03389430239035234,0.07184259746667868,0.7152201743954464,False
P03,Range noise actual (m),Meas Noise Actual,0.345510729459222,0.345510729459222,1000,1.0,0.345510729459222,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.176844602551451,2.3407176653074364,0.04487129395995374,0.0738260763343162,0.7153094340132347,False
P03,Range noise actual (m),Meas Noise Actual,0.41246263829013524,0.41246263829013524,1000,1.0,0.41246263829013524,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.177694731363251,2.340214417983983,0.04159642934591757,0.0791323499937003,0.7153488550937096,False
P03,Range noise actual (m),Meas Noise Actual,0.4923882631706739,0.4923882631706739,1000,1.0,0.4923882631706739,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.179758965140718,2.341247911511629,0.04812804392421267,0.08475626042171638,0.7146208523058648,False
P03,Range noise actual (m),Meas Noise Actual,0.5878016072274913,0.5878016072274913,1000,1.0,0.5878016072274913,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.180588841732222,2.3441024658181893,0.05551770022941722,0.09637849745644712,0.7154328643353859,False
P03,Range noise actual (m),Meas Noise Actual,0.701703828670383,0.701703828670383,1000,1.0,0.701703828670383,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.181290543040229,2.3522027028919976,0.06217269779121115,0.09530422120443158,0.715727382401858,False
P03,Range noise actual (m),Meas Noise Actual,0.837677640068292,0.837677640068292,1000,1.0,0.837677640068292,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.187387388238459,2.3477103892294964,0.07227653266384475,0.10123062180742276,0.715176841656848,False
P03,Range noise actual (m),Meas Noise Actual,1.0,1.0,1000,1.0,1.0,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.201416990271048,2.3651916899680483,0.08735024322875021,0.12517714643627004,0.7166005817726191,False
P03,Range noise actual (m),Meas Noise Actual,1.1937766417144369,1.1937766417144369,1000,1.0,1.1937766417144369,0.1,0.1,0.001,0.1,0.1,0.1,0.1,0.1,100.0,70.0,-70.0,0.5,0.5,20000.0,20000.0,20000.0,10.0,10.0,-100.0,0.0,1.0,0.0,30.0,0.0,0.0,200.0,0.0,1.0,0.0,45.0,0.0,0.0,0.5,0.6,1+4,FreeTraj,FreeTraj,4.201578387612969,2.3786417744800126,0.10393744918110312,0.13819568849987263,0.7174297076896842,False
